"Cluster","TimeID","lon","lat"
242,1416,-7.79828533713011,-35.2672646922766
48,1415,-12.4071449273061,-38.2286897100246
208,1414,-29.1509028273297,-51.5524121040094
167,1413,-23.7067485428668,-46.7999987845722
166,1412,-6.57522829537991,-41.002481452698
12,1411,-25.4266615168577,-49.232272281497
159,1409,-27.6975225637399,-55.6328337324198
445,1408,-23.0107124726466,-43.3539433616907
295,1407,-8.03095815030608,-49.0310822123389
278,1406,-21.2368118345851,-41.6889453907154
93,1405,-22.8693771981739,-43.1075202799839
24,1404,-3.51220836504409,-38.286877561259
401,1403,-22.9016614460211,-43.6863792186047
60,1402,-26.7671523265,-48.9971318238805
316,1401,-23.4688847073282,-46.536733105595
119,1399,-29.8891159703671,-53.933391274472
334,1398,-22.9118847783237,-47.3230486823408
387,1395,-21.5233344870576,-46.1330239447986
196,1389,-2.16812713378929,-44.0102814100699
471,1384,-0.844344663336184,-49.1581550324871
305,1382,-22.7761614453639,-43.4223000057392
77,1381,-23.445240936978,-51.6873735196277
120,1376,-27.6586753784487,-48.512712140462
402,1374,-21.7349932211261,-49.995293520487
246,1368,-28.5736127127472,-49.4798135832459
15,1364,3.57578946981323,-61.7690288272234
473,1363,-20.1640736303324,-40.185876233211
284,1362,-15.951622112985,-48.1930669385367
472,1358,-23.1787329483799,-45.6824713119821
352,1357,-30.0181845810519,-51.1298716161387
112,1354,-23.8674185545219,-46.4382316944128
184,1353,-22.3917677152467,-43.1635249395938
32,1347,-19.9299016128521,-44.0029339849752
416,1337,-30.1498230622225,-56.3983286512404
383,1329,-21.3215720415211,-48.0388455178193
244,1305,-31.888767957923,-52.5016260103541
144,1296,-22.6337985575662,-42.0437100749408
255,1284,-26.8028096468324,-65.477977478611
333,1279,-29.418654402631,-36.1405151165243
173,1256,-18.9836190721422,-42.5325544182577
140,1245,-18.8613965674847,-48.7789021517991
18,1241,-14.8925854348269,-40.4246149682596
294,1210,-14.5158021085518,-56.304819728604
91,1138,-21.0879360751471,-54.7648137460314
96,1089,3.23529464573209,-67.720813694615
201,1052,-26.3218193107799,-51.3867835199131
114,1002,-9.8099324112145,-66.3086887919629
419,983,-19.1993979571246,-70.8560341692034
499,979,-22.5761167345445,-44.4650015279572
2,860,-32.8424987548345,-68.6193522469288
99,740,4.28146888105144,-74.060490784313
291,731,-2.73278239324388,-59.7004252173588
492,695,-21.414051154202,-43.3658553138929
236,691,-27.8383144226346,-52.8947672944004
205,622,-25.3023740129192,-54.0400341315671
302,352,-18.7948637607263,-46.2925224407117
215,201,-4.96640350382765,-72.6807128757716
42,108,-11.9411792754011,-77.1780965261561
331,70,42.3590648750519,-70.9792722645173
272,61,-26.2448919158401,-61.7988385274037
379,42,41.6196317596613,-8.46421561856764
34,8,25.9587100837038,121.134005227009
10,4,51.4537300565691,-0.129693516139481
